Code,Area,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,
E09000011,Greenwich,"60,000","65,500","66,000","62,000","60,000","65,000","68,000","67,625","71,500","74,250","77,000","77,000","78,995","85,000","95,000","100,000","94,100","106,500","112,500","109,500","114,000","118,995","127,000","125,000","135,000","145,000","153,000","155,748","159,000","167,500","175,000","172,000","170,000","177,495","189,995","187,000","195,000","200,000","199,995","200,000","196,000","204,000","219,995","210,000","211,498","220,000","229,995","230,000","230,000","240,000","230,000","215,000","204,500","214,500","233,000","220,250","245,000","245,000","247,500","240,000","245,000","250,000","250,000","235,750","240,000","247,000","250,000","245,000","250,000","265,000","280,000","285,000","289,000","339,450","315,000","315,000","300,000","322,000","351,000"
E09000012,Hackney,"64,000","62,325","69,975","67,500","68,000","75,000","78,000","82,250","82,000","87,250","87,250","94,000","95,000","110,000","118,000","119,500","129,000","135,000","139,000","140,000","140,000","160,000","167,500","170,000","160,000","175,000","188,000","195,000","185,000","195,000","200,000","197,000","200,000","215,000","220,000","217,000","210,000","220,000","225,000","225,000","234,000","241,000","250,000","250,000","249,995","250,000","280,000","278,000","260,000","288,000","262,000","250,000","275,000","240,000","299,000","280,000","288,250","306,750","305,000","275,000","295,975","294,200","325,000","320,000","290,000","320,000","330,000","350,000","340,750","382,000","385,000","375,000","405,000","430,000","446,555","435,000","413,625","488,792","490,000"
E09000013,Hammersmith and Fulham,"115,000","115,000","120,500","122,500","122,500","127,500","145,000","140,000","153,625","156,450","162,000","155,000","160,750","175,000","200,000","210,000","215,000","220,000","220,000","230,000","230,000","235,000","249,950","249,925","245,000","269,000","273,000","270,000","262,500","280,250","280,000","282,500","288,000","325,000","309,000","280,000","297,000","330,000","340,000","315,000","330,000","352,500","366,500","350,000","390,000","399,950","450,000","413,500","449,950","426,000","449,000","400,000","400,000","390,000","430,000","430,000","435,000","460,000","475,000","433,750","437,475","480,000","490,000","457,250","452,500","495,000","499,950","500,000","539,426","525,000","600,000","570,000","585,000","630,000","726,500","735,000","702,500","725,000","741,750"
E09000014,Haringey,"66,750","70,000","72,750","75,000","74,500","78,000","85,000","85,000","86,500","93,475","97,000","90,000","91,000","109,998","118,250","119,000","119,000","135,000","135,000","134,750","145,000","148,000","153,000","153,000","155,000","172,750","190,000","192,500","184,000","190,000","195,500","195,000","195,000","212,250","223,000","220,000","215,000","230,000","230,000","224,500","224,500","235,000","248,000","243,000","249,950","267,750","286,500","278,000","261,500","273,500","250,000","250,000","247,500","250,000","280,000","255,000","275,000","285,000","304,000","290,000","300,000","309,225","312,750","291,000","299,950","328,000","310,000","320,000","305,000","325,000","360,000","345,000","359,548","400,000","435,000","420,000","408,250","400,000","474,475"
E09000015,Harrow,"78,500","80,000","83,000","85,000","86,500","91,625","99,000","101,250","100,000","105,000","115,000","107,000","111,000","116,500","127,000","135,000","140,000","145,000","150,000","151,500","150,000","161,500","170,000","173,500","175,500","190,000","206,500","215,000","215,650","230,000","235,000","234,750","230,000","242,500","249,950","249,700","244,750","248,250","249,950","250,000","247,000","250,000","263,500","268,000","260,000","275,975","295,000","292,950","284,000","277,500","277,000","250,000","246,000","250,000","260,125","270,000","280,000","285,000","300,000","304,000","290,000","285,000","300,000","297,000","285,000","313,000","308,000","299,500","308,125","320,000","335,725","330,000","349,000","360,000","381,000","386,000","385,000","392,000","410,000"
E09000016,Havering,"66,250","67,000","68,995","70,000","68,500","73,500","75,500","77,000","77,000","83,625","84,500","85,000","85,000","89,000","90,000","94,500","97,500","110,000","109,000","116,000","111,000","119,998","124,000","128,000","127,613","140,000","149,000","159,000","165,000","170,000","175,000","180,000","180,000","188,000","192,500","190,000","195,000","195,000","195,500","197,500","195,000","200,000","210,000","209,995","210,000","219,973","235,000","226,000","226,000","225,000","225,000","208,248","190,000","195,000","200,000","203,850","212,500","222,500","225,500","221,000","215,000","222,500","217,500","227,500","209,000","225,000","229,000","230,000","223,000","225,750","235,000","235,000","248,000","250,000","250,000","270,000","270,000","278,000","300,000"
E09000017,Hillingdon,"70,000","71,250","74,000","74,000","76,000","78,000","82,000","84,000","83,150","88,000","92,000","91,000","92,000","99,995","107,500","114,000","116,000","124,500","128,500","130,000","132,000","135,000","143,125","149,000","149,950","160,000","174,000","180,975","183,748","190,000","195,998","195,500","195,995","208,000","220,000","215,000","215,000","217,000","218,000","222,000","225,000","225,000","234,000","237,000","232,000","242,000","249,000","249,950","245,000","248,000","248,000","240,000","220,000","220,000","237,500","235,000","245,000","250,000","250,000","250,000","249,950","250,000","250,000","245,000","238,000","265,000","260,000","260,000","250,000","259,973","267,750","280,000","285,000","295,000","317,000","325,000","332,000","330,000","360,000"
E09000018,Hounslow,"71,500","73,000","74,000","75,000","74,250","78,050","83,500","86,000","89,973","95,000","98,000","98,250","100,000","109,123","115,000","125,000","125,000","134,000","132,500","133,750","135,000","143,950","155,000","155,000","159,000","169,950","178,500","181,000","185,000","199,950","202,750","202,500","197,000","220,000","220,000","224,000","217,500","220,000","219,475","225,000","228,000","233,495","240,000","240,000","245,000","249,950","250,000","265,000","249,950","250,000","245,000","234,998","224,000","232,000","250,000","238,500","244,000","249,973","250,000","250,000","266,000","250,000","250,000","250,000","249,950","275,000","275,000","265,000","271,750","290,000","280,000","280,000","300,000","323,000","329,950","315,500","323,500","342,500","380,000"
E09000019,Islington,"95,000","102,000","103,500","101,500","109,000","126,000","117,000","119,500","129,950","153,000","148,500","149,998","152,500","160,000","175,000","195,000","195,000","195,000","199,950","209,500","210,000","220,000","215,000","212,748","233,000","238,500","246,500","249,250","234,100","249,950","250,000","244,000","249,925","243,150","255,000","260,000","260,000","265,000","275,000","270,000","278,000","299,000","300,000","310,000","319,999","350,000","360,000","350,000","370,000","363,200","350,000","330,000","340,000","340,000","350,000","346,551","362,500","383,153","395,000","400,000","400,000","395,000","407,000","385,000","385,000","429,750","412,500","394,975","445,000","460,000","465,000","475,500","500,000","525,500","550,000","526,000","542,500","599,975","620,000"
E09000020,Kensington and Chelsea,"178,000","188,000","210,000","195,000","205,000","223,000","239,250","230,000","233,750","245,000","246,000","249,500","260,075","257,630","290,000","315,000","330,000","330,000","345,000","358,500","350,000","350,000","385,000","355,000","370,000","400,000","425,000","394,975","410,000","375,000","405,000","425,000","425,000","455,000","492,500","445,000","450,000","447,000","490,000","470,000","499,999","533,500","512,000","560,000","620,000","650,000","700,000","600,000","695,000","720,000","740,000","617,500","610,000","670,000","700,000","685,000","725,000","739,576","760,000","772,500","791,400","785,250","775,000","815,000","825,000","885,000","950,000","887,857","950,000","925,000","1,050,000","983,342","1,100,000","1,215,000","1,275,000","1,150,000","1,282,500","1,155,000","1,207,750"
